data,ABRANTES,AGUIAR DA BEIRA,ALANDROAL,ALBERGARIA-A-VELHA,ALBUFEIRA,ALCANENA,ALCOBAÇA,ALCOCHETE,ALCOUTIM,ALCÁCER DO SAL,ALENQUER,ALFÂNDEGA DA FÉ,ALIJÓ,ALJEZUR,ALJUSTREL,ALMADA,ALMEIDA,ALMEIRIM,ALMODÔVAR,ALPIARÇA,ALTER DO CHÃO,ALVAIÁZERE,ALVITO,AMADORA,AMARANTE,AMARES,ANADIA,ANGRA DO HEROÍSMO,ANSIÃO,ARCOS DE VALDEVEZ,ARGANIL,ARMAMAR,AROUCA,ARRAIOLOS,ARRONCHES,ARRUDA DOS VINHOS,AVEIRO,AVIS,AZAMBUJA,BAIÃO,BARCELOS,BARRANCOS,BARREIRO,BATALHA,BEJA,BELMONTE,BENAVENTE,BOMBARRAL,BORBA,BOTICAS,BRAGA,BRAGANÇA,CABECEIRAS DE BASTO,CADAVAL,CALDAS DA RAINHA,CALHETA,CALHETA (AÇORES),CAMINHA,CAMPO MAIOR,CANTANHEDE,CARRAZEDA DE ANSIÃES,CARREGAL DO SAL,CARTAXO,CASCAIS,CASTANHEIRA DE PÊRA,CASTELO BRANCO,CASTELO DE PAIVA,CASTELO DE VIDE,CASTRO DAIRE,CASTRO MARIM,CASTRO VERDE,CELORICO DA BEIRA,CELORICO DE BASTO,CHAMUSCA,CHAVES,CINFÃES,COIMBRA,CONDEIXA-A-NOVA,CONSTÂNCIA,CORUCHE,CORVO,COVILHÃ,CRATO,CUBA,CÂMARA DE LOBOS,ELVAS,ENTRONCAMENTO,ESPINHO,ESPOSENDE,ESTARREJA,ESTREMOZ,FAFE,FARO,FELGUEIRAS,FERREIRA DO ALENTEJO,FERREIRA DO ZÊZERE,FIGUEIRA DA FOZ,FIGUEIRA DE CASTELO RODRIGO,FIGUEIRÓ DOS VINHOS,FORNOS DE ALGODRES,FREIXO DE ESPADA À CINTA,FRONTEIRA,FUNCHAL,FUNDÃO,GAVIÃO,GOLEGÃ,GONDOMAR,GOUVEIA,GRÂNDOLA,GUARDA,GUIMARÃES,GÓIS,HORTA,IDANHA-A-NOVA,LAGOA,LAGOA (FARO),LAGOS,LAJES DAS FLORES,LAJES DO PICO,LAMEGO,LEIRIA,LISBOA,LOULÉ,LOURES,LOURINHÃ,LOUSADA,LOUSÃ,MACEDO DE CAVALEIROS,MACHICO,MADALENA,MAFRA,MAIA,MANGUALDE,MANTEIGAS,MARCO DE CANAVESES,MARINHA GRANDE,MARVÃO,MATOSINHOS,MAÇÃO,MEALHADA,MELGAÇO,MESÃO FRIO,MIRA,MIRANDA DO CORVO,MIRANDA DO DOURO,MIRANDELA,MOGADOURO,MOIMENTA DA BEIRA,MOITA,MONCHIQUE,MONDIM DE BASTO,MONFORTE,MONTALEGRE,MONTEMOR-O-NOVO,MONTEMOR-O-VELHO,MONTIJO,MONÇÃO,MORA,MORTÁGUA,MOURA,MOURÃO,MURTOSA,MURÇA,MÉRTOLA,MÊDA,NAZARÉ,NELAS,NISA,NORDESTE,ODEMIRA,ODIVELAS,OEIRAS,OLEIROS,OLHÃO,OLIVEIRA DE AZEMÉIS,OLIVEIRA DE FRADES,OLIVEIRA DO BAIRRO,OLIVEIRA DO HOSPITAL,OURIQUE,OURÉM,OVAR,PALMELA,PAMPILHOSA DA SERRA,PAREDES,PAREDES DE COURA,PAÇOS DE FERREIRA,PEDRÓGÃO GRANDE,PENACOVA,PENAFIEL,PENALVA DO CASTELO,PENAMACOR,PENEDONO,PENELA,PENICHE,PESO DA RÉGUA,PINHEL,POMBAL,PONTA DELGADA,PONTA DO SOL,PONTE DA BARCA,PONTE DE LIMA,PONTE DE SOR,PORTALEGRE,PORTEL,PORTIMÃO,PORTO,PORTO DE MÓS,PORTO MONIZ,PORTO SANTO,POVOAÇÃO,PROENÇA-A-NOVA,PÓVOA DE LANHOSO,PÓVOA DE VARZIM,REDONDO,REGUENGOS DE MONSARAZ,RESENDE,RIBEIRA BRAVA,RIBEIRA DE PENA,RIBEIRA GRANDE,RIO MAIOR,SABROSA,SABUGAL,SALVATERRA DE MAGOS,SANTA COMBA DÃO,SANTA CRUZ,SANTA CRUZ DA GRACIOSA,SANTA CRUZ DAS FLORES,SANTA MARIA DA FEIRA,SANTA MARTA DE PENAGUIÃO,SANTANA,SANTARÉM,SANTIAGO DO CACÉM,SANTO TIRSO,SARDOAL,SEIA,SEIXAL,SERNANCELHE,SERPA,SERTÃ,SESIMBRA,SETÚBAL,SEVER DO VOUGA,SILVES,SINES,SINTRA,SOBRAL DE MONTE AGRAÇO,SOURE,SOUSEL,SÁTÃO,SÃO BRÁS DE ALPORTEL,SÃO JOÃO DA MADEIRA,SÃO JOÃO DA PESQUEIRA,SÃO PEDRO DO SUL,SÃO ROQUE DO PICO,SÃO VICENTE,TABUAÇO,TAROUCA,TAVIRA,TERRAS DE BOURO,TOMAR,TONDELA,TORRE DE MONCORVO,TORRES NOVAS,TORRES VEDRAS,TRANCOSO,TROFA,TÁBUA,VAGOS,VALE DE CAMBRA,VALENÇA,VALONGO,VALPAÇOS,VELAS,VENDAS NOVAS,VIANA DO ALENTEJO,VIANA DO CASTELO,VIDIGUEIRA,VIEIRA DO MINHO,VILA DA PRAIA DA VITÓRIA,VILA DE REI,VILA DO BISPO,VILA DO CONDE,VILA DO PORTO,VILA FLOR,VILA FRANCA DE XIRA,VILA FRANCA DO CAMPO,VILA NOVA DA BARQUINHA,VILA NOVA DE CERVEIRA,VILA NOVA DE FAMALICÃO,VILA NOVA DE FOZ CÔA,VILA NOVA DE GAIA,VILA NOVA DE PAIVA,VILA NOVA DE POIARES,VILA POUCA DE AGUIAR,VILA REAL,VILA REAL DE SANTO ANTÓNIO,VILA VELHA DE RÓDÃO,VILA VERDE,VILA VIÇOSA,VIMIOSO,VINHAIS,VISEU,VIZELA,VOUZELA,ÁGUEDA,ÉVORA,ÍLHAVO,ÓBIDOS
2021-01-11,3,4,4,3,4,4,4,4,3,4,3,3,3,1,3,4,3,4,4,3,4,4,4,3,4,3,4,1,4,4,4,4,4,4,2,4,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3,3,3,1,1,4,4,4,1,4,2,3,1,3,3,2,4,3,3,4,4,3,4,3,4,4,3,2,1,3,4,4,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,4,1,3,1,4,4,3,3,3,3,4,4,4,1,4,3,2,3,1,1,4,3,4,4,4,3,3,3,4,2,1,4,3,4,2,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,1,3,4,4,4,3,3,3,4,3,3,4,4,3,4,4,3,4,4,1,2,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,3,3,4,4,4,4,2,1,4,3,4,3,4,2,3,4,2,1,1,1,4,4,4,4,2,3,4,4,4,3,4,3,3,2,1,1,4,4,1,4,2,4,2,3,3,4,3,4,3,4,4,3,2,3,3,3,3,4,3,3,4,4,1,1,4,4,4,4,4,4,1,4,4,4,3,4,3,3,3,3,4,1,4,4,3,4,4,1,1,1,4,1,4,4,4,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,3,4,4,4,3,3
2021-01-12,3,4,4,3,4,4,4,4,3,4,3,3,3,1,3,4,3,4,4,3,4,4,4,3,4,3,4,1,4,4,4,4,4,4,2,4,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3,3,3,1,1,4,4,4,1,4,2,3,1,3,3,2,4,3,3,4,4,3,4,3,4,4,3,2,1,3,4,4,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,4,1,3,1,4,4,3,3,3,3,4,4,4,1,4,3,2,3,1,1,4,3,4,4,4,3,3,3,4,2,1,4,3,4,2,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,1,3,4,4,4,3,3,3,4,3,3,4,4,3,4,4,3,4,4,1,2,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,3,3,4,4,4,4,2,1,4,3,4,3,4,2,3,4,2,1,1,1,4,4,4,4,2,3,4,4,4,3,4,3,3,2,1,1,4,4,1,4,2,4,2,3,3,4,3,4,3,4,4,3,2,3,3,3,3,4,3,3,4,4,1,1,4,4,4,4,4,4,1,4,4,4,3,4,3,3,3,3,4,1,4,4,3,4,4,1,1,1,4,1,4,4,4,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,3,4,4,4,3,3
2021-01-13,3,4,4,3,4,4,4,4,3,4,3,3,3,1,3,4,3,4,4,3,4,4,4,3,4,3,4,1,4,4,4,4,4,4,2,4,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3,3,3,1,1,4,4,4,1,4,2,3,1,3,3,2,4,3,3,4,4,3,4,3,4,4,3,2,1,3,4,4,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,4,1,3,1,4,4,3,3,3,3,4,4,4,1,4,3,2,3,1,1,4,3,4,4,4,3,3,3,4,2,1,4,3,4,2,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,1,3,4,4,4,3,3,3,4,3,3,4,4,3,4,4,3,4,4,1,2,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,3,3,4,4,4,4,2,1,4,3,4,3,4,2,3,4,2,1,1,1,4,4,4,4,2,3,4,4,4,3,4,3,3,2,1,1,4,4,1,4,2,4,2,3,3,4,3,4,3,4,4,3,2,3,3,3,3,4,3,3,4,4,1,1,4,4,4,4,4,4,1,4,4,4,3,4,3,3,3,3,4,1,4,4,3,4,4,1,1,1,4,1,4,4,4,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,3,4,4,4,3,3
2021-01-14,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,1,1,4,4,4,1,4,3,4,2,4,3,4,4,4,2,4,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,2,4,4,3,4,4,3,4,4,4,1,4,2,3,3,1,1,4,4,4,4,4,3,3,4,4,2,1,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,1,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,3,4,2,3,4,2,4,1,2,4,4,4,4,2,2,4,4,4,3,4,4,4,2,1,1,4,4,2,4,3,4,2,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,1,1,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,1,4,4,4,3,4,1,2,2,4,1,4,4,4,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4
2021-01-15,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,1,1,4,4,4,1,4,3,4,2,4,3,4,4,4,2,4,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,2,4,4,3,4,4,3,4,4,4,1,4,2,3,3,1,1,4,4,4,4,4,3,3,4,4,2,1,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,1,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,3,4,2,3,4,2,4,1,2,4,4,4,4,2,2,4,4,4,3,4,4,4,2,1,1,4,4,2,4,3,4,2,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,1,1,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,1,4,4,4,3,4,1,2,2,4,1,4,4,4,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4
2021-01-16,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,1,1,4,4,4,1,4,3,4,2,4,3,4,4,4,2,4,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,2,4,4,3,4,4,3,4,4,4,1,4,2,3,3,1,1,4,4,4,4,4,3,3,4,4,2,1,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,1,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,3,4,2,3,4,2,4,1,2,4,4,4,4,2,2,4,4,4,3,4,4,4,2,1,1,4,4,2,4,3,4,2,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,1,1,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,1,4,4,4,3,4,1,2,2,4,1,4,4,4,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4
2021-01-17,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,1,1,4,4,4,1,4,3,4,2,4,3,4,4,4,2,4,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,2,4,4,3,4,4,3,4,4,4,1,4,2,3,3,1,1,4,4,4,4,4,3,3,4,4,2,1,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,1,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,3,4,2,3,4,2,4,1,2,4,4,4,4,2,2,4,4,4,3,4,4,4,2,1,1,4,4,2,4,3,4,2,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,1,1,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,1,4,4,4,3,4,1,2,2,4,1,4,4,4,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4
2021-01-18,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,1,1,4,4,4,1,4,3,4,2,4,3,4,4,4,2,4,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,2,4,4,3,4,4,3,4,4,4,1,4,2,3,3,1,1,4,4,4,4,4,3,3,4,4,2,1,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,1,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,3,4,2,3,4,2,4,1,2,4,4,4,4,2,2,4,4,4,3,4,4,4,2,1,1,4,4,2,4,3,4,2,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,1,1,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,1,4,4,4,3,4,1,2,2,4,1,4,4,4,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4
2021-01-19,3,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,1,1,4,4,4,1,4,3,4,2,4,3,4,4,4,2,4,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,2,4,4,3,4,4,3,4,4,4,1,4,2,3,3,1,1,4,4,4,4,4,3,3,4,4,2,1,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,1,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,3,4,2,3,4,2,4,1,2,4,4,4,4,2,2,4,4,4,3,4,4,4,2,1,1,4,4,2,4,3,4,2,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,1,1,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,1,4,4,4,3,4,1,2,2,4,1,4,4,4,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4
2021-01-20,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
2021-01-21,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
2021-01-22,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
2021-01-23,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
2021-01-24,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
2021-01-25,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
2021-01-26,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
2021-01-27,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,1,3,3,1,1,4,4,4,4,4,4,3,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,1,3,1,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,1,1,4,4,2,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,3,2,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4
